first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Sil,Swinkels,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Oliwier,Zych,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
James,Wright,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Sebastian,Revan,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Travis,Patterson,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Tommi,O'Reilly,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Adam,Smith,DEF,74,0,1,2940,58,261.6,406.2,88.0,5,75.7,7,0.34,2.27
Junior,Stanislas,MID,4,0,0,58,1,22.9,10.0,7.0,0,3.9,0,0.0,0.0
Ryan,Fredericks,DEF,12,0,0,527,11,26.7,66.0,12.0,0,10.6,0,0.17,2.05
David,Brooks,MID,5,0,0,170,4,16.4,13.6,31.0,0,6.0,0,0.0,0.0
Jamal,Lowe,MID,2,0,0,11,0,0.3,0.2,0.0,0,0.1,0,0.0,0.0
Kieffer,Moore,FWD,57,4,0,1269,34,89.6,216.2,272.0,3,57.3,3,0.07,4.04
Emiliano,Marcondes,MID,1,0,0,8,1,0.0,1.2,0.0,0,0.1,0,0.0,0.0
Jefferson,Lerma Solís,MID,101,5,0,3252,67,293.6,616.6,311.0,5,122.1,7,0.19,2.8
Jack,Stacey,DEF,6,0,0,293,10,8.6,44.2,8.0,0,6.0,0,0.61,1.84
Dominic,Solanke,FWD,130,6,10,2865,52,279.9,524.8,1046.0,14,184.4,8,0.06,4.08
Lewis,Cook,MID,51,0,2,1712,39,352.5,313.0,45.0,1,71.2,3,0.21,2.68
Ben,Pearson,MID,9,0,0,282,10,6.4,21.0,9.0,0,3.7,1,0.32,2.87
Ryan,Christie,MID,64,1,2,1825,35,421.7,282.0,400.0,2,110.5,3,0.1,3.16
Philip,Billing,MID,126,7,2,2766,54,388.8,622.0,441.0,14,145.2,9,0.16,4.1
Chris,Mepham,DEF,43,0,0,2197,52,54.4,556.4,134.0,6,74.4,5,0.29,1.76
Mark,Travers,GK,28,0,0,1035,32,0.0,253.0,0.0,1,25.4,2,0.0,2.43
Lloyd,Kelly,DEF,60,0,2,2040,38,97.7,394.0,26.0,5,52.1,5,0.13,2.65
Siriki,Dembélé,MID,6,0,0,104,2,52.3,31.8,28.0,0,11.3,0,0.0,0.0
Jaidon,Anthony,MID,61,3,1,1241,29,209.1,299.4,263.0,4,77.2,2,0.15,4.42
Jordan,Zemura,DEF,47,0,1,1452,31,232.8,269.4,71.0,1,57.1,5,0.06,2.91
Will,Dennis,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Jack,Stephens,DEF,35,0,0,1218,24,57.3,270.0,51.0,1,38.0,4,0.22,2.59
Joe,Rothwell,MID,33,0,1,1010,15,153.3,127.4,27.0,0,30.6,3,0.09,2.94
Marcus,Tavernier,MID,94,5,4,1740,37,348.4,459.8,436.0,12,124.2,5,0.05,4.86
James,Hill,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Darren,Randolph,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Norberto,Murara Neto,GK,93,0,0,2385,39,0.0,727.6,0.0,9,72.8,6,0.15,3.51
Marcos,Senesi,DEF,69,2,0,2489,55,78.7,586.0,109.0,5,77.5,5,0.25,2.49
Christian,Saydee,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Owen,Bevan,DEF,1,0,0,8,1,0.0,0.2,0.0,0,0.0,0,0.0,0.0
Cameron,Plain,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Daniel,Adu-Adjei,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Michael,Dacosta Gonzalez,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Dominic,Sadi,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Dango,Ouattara,MID,49,1,3,1239,23,261.0,276.8,274.0,4,81.0,1,0.07,3.56
Euan,Pollock,FWD,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
